# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/real_yeast.gtf" "-o" "FeatureCounts.txt" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_0_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_1_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_2_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_3_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_4_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_0_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_1_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_2_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_3_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_4_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_5_Aligned.sortedByCoord.out.bam
YOR234C	chrXV;chrXV	778555;779387	778859;779405	-;-	324	238	527	192	212	254	167
YOR283W	chrXV	847453	848145	+	693	825	1156	856	423	611	399
YOR020W-A	chrXV	371685	371957	+	273	1794	2313	1476	871	1194	842
YOL045W	chrXV	243497	246802	+	3306	1328	1757	1440	800	1140	795
YOR102W	chrXV	516423	516773	+	351	5	14	10	8	7	10
YOL128C	chrXV	78352	79479	-	1128	714	773	607	429	538	251
YOR360C	chrXV	1013241	1014821	-	1581	1424	1832	1504	681	1025	851
YOL097C	chrXV	136527	137825	-	1299	387	503	346	226	280	299
YOR164C	chrXV	643394	644332	-	939	1094	1542	1066	679	755	714
YOR175C	chrXV	659815	661674	-	1860	1746	2216	1295	993	998	1187
tP(UGG)O1	chrXV;chrXV	301097;301163	301132;301198	+;+	72	0	0	0	0	0	0
YOR086C	chrXV	483219	486779	-	3561	7185	7885	5015	4037	3693	5492
YOR242C	chrXV	788742	789857	-	1116	82	143	100	47	51	49
YOR155C	chrXV	626628	627980	-	1353	1530	1738	1439	838	919	844
YOL019W-A	chrXV	288420	288572	+	153	2	0	1	0	0	3
YOL030W	chrXV	268187	269641	+	1455	2496	2772	1761	1688	1482	2230
YOR323C	chrXV	921535	922905	-	1371	992	1264	938	592	688	839
YOL017W	chrXV	292529	294673	+	2145	159	300	239	182	181	176
YOR233W	chrXV	775846	778248	+	2403	585	697	670	458	450	412
YOL037C	chrXV	256666	257019	-	354	46	67	36	29	37	31
YOR083W	chrXV	479533	480420	+	888	117	226	196	106	112	167
YOL010W	chrXV	307938	309041	+	1104	1131	1403	1062	783	771	697
YOR118W	chrXV	546857	548560	+	1704	2625	3387	2368	1520	1738	1849
YOR128C	chrXV	564476	566191	-	1716	814	1215	968	453	659	599
YOL125W	chrXV	83834	85264	+	1431	994	1488	1167	741	867	604
YOL004W	chrXV	316938	321548	+	4611	5018	5871	4618	3224	3264	3559
YOR177C	chrXV	665785	667179	-	1395	767	890	745	524	521	489
YOR166C	chrXV	647126	648502	-	1377	447	671	546	318	372	252
YOR006C	chrXV	337680	338621	-	942	2375	2822	2099	1272	1419	1320
YOR324C	chrXV	923232	925040	-	1809	283	342	377	214	208	188
YOL024W	chrXV	277086	277604	+	519	59	71	42	26	29	36
YOR033C	chrXV	392416	394524	-	2109	349	472	254	233	192	278
YOL033W	chrXV	263475	265085	+	1611	296	369	244	180	191	163
YOL070C	chrXV	197220	198725	-	1506	1173	1414	1519	706	983	774
YOR116C	chrXV	539763	544145	-	4383	2364	2855	1809	1614	1338	1670
YOL067C	chrXV	201985	202518	-	534	619	941	802	464	568	456
YOR145C	chrXV	605347	606171	-	825	303	481	371	207	291	228
YOR304C-A	chrXV	888520	888750	-	231	142	280	160	133	156	127
YOR192C	chrXV	698768	700567	-	1800	562	618	526	336	335	398
YOL109W	chrXV	110297	110638	+	342	8331	19034	13454	6157	10013	4633
YOR078W	chrXV	472725	473369	+	645	715	1131	819	518	693	495
YOR134W	chrXV	578564	579793	+	1230	3282	2554	1583	1328	1549	1269
YOR131C	chrXV	572182	572838	-	657	1156	1501	1396	612	892	659
YOR368W	chrXV	1026843	1028048	+	1206	409	629	423	242	328	267
YOL111C	chrXV	108258	108896	-	639	624	799	653	423	443	482
YOR168W	chrXV	649303	651732	+	2430	2599	3173	2047	1640	1608	1667
YOR226C	chrXV	761614	762084	-	471	243	342	218	146	186	186
YOL162W	chrXV	10119	10766	+	648	117	125	95	66	72	68
YOR334W	chrXV	944596	946008	+	1413	222	352	204	114	149	149
YOR241W	chrXV	786995	788641	+	1647	592	735	597	358	440	399
tP(UGG)O2	chrXV;chrXV	464450;464516	464485;464551	+;+	72	0	0	0	0	0	0
YOR245C	chrXV	794076	795332	-	1257	5376	6518	4261	2948	3171	3118
YOL009C	chrXV	309324	310139	-	816	537	654	460	290	374	340
YOR153W	chrXV	619840	624375	+	4536	25286	35762	32315	19310	20994	20703
YOR358W	chrXV	1010161	1010889	+	729	643	855	617	515	389	423
YOR335W-A	chrXV	946568	946648	+	81	0	0	0	0	0	0
YOR170W	chrXV	651858	652163	+	306	136	177	106	73	75	95
YOR267C	chrXV	822588	824867	-	2280	4547	4457	3991	2257	2619	3158
YOR081C	chrXV	476939	479188	-	2250	1343	1930	1165	956	1094	1252
YOL145C	chrXV	49555	52788	-	3234	2130	2970	1872	1338	1456	1671
YOL156W	chrXV	25273	26976	+	1704	156	223	154	110	108	110
YOR322C	chrXV	918606	921062	-	2457	1246	1687	1432	893	954	1037
YOL044W	chrXV	247150	248301	+	1152	789	1085	804	569	615	554
YOR054C	chrXV	427833	429857	-	2025	4508	4889	3782	2482	2658	2844
YOL031C	chrXV	266264	267529	-	1266	371	546	395	300	271	257
YOR034C-A	chrXV	397426	397668	-	243	81	96	43	59	43	42
YOR306C	chrXV	889867	891432	-	1566	766	1406	1093	595	1013	512
YOR261C	chrXV	815915	816931	-	1017	2698	3894	1960	1225	1714	1609
YOR293W	chrXV;chrXV	867098;867587	867149;867852	+;+	318	1177	3144	1501	1015	1459	793
YOR062C	chrXV	442725	443531	-	807	3437	4069	3255	2206	2281	2030
YOR339C	chrXV	958362	958832	-	471	126	194	89	58	92	48
YOR067C	chrXV	451729	453462	-	1734	757	967	602	506	518	462
YOR312C	chrXV	900250	900767	-	518	721	1236	556	463	623	554
YOR094W	chrXV	502795	503346	+	552	435	467	364	260	221	193
YOL135C	chrXV	69376	70044	-	669	684	793	643	385	432	452
YOL105C	chrXV	114138	115808	-	1671	901	1306	740	619	505	751
YOR329W-A	chrXV	939348	939557	+	210	29	84	49	42	38	40
YOR197W	chrXV	717086	718384	+	1299	3851	3792	3025	2298	2199	2843
YOL104C	chrXV	116396	117454	-	1059	109	132	260	73	141	81
YOR262W	chrXV	817292	818335	+	1044	975	1340	998	615	658	595
YOR167C	chrXV	648804	649007	-	204	788	1303	737	645	695	528
YOL015W	chrXV	297078	298838	+	1761	238	317	201	169	179	176
YOR161C	chrXV	636939	638558	-	1620	14996	18349	11789	7879	8206	10301
YOR393W	chrXV	1080276	1081589	+	1314	1	4	2	3	1	3
YOR105W	chrXV	518195	518521	+	327	0	2	0	1	1	1
YOR210W	chrXV	738320	738532	+	213	222	330	265	122	203	87
YOR364W	chrXV	1023371	1023739	+	369	4	7	6	3	8	7
YOL087C	chrXV	155287	158637	-	3351	2898	3885	2399	1897	1885	2284
YOR127W	chrXV	561170	564193	+	3024	3293	4182	3136	2385	2410	2438
YOR184W	chrXV	679357	680544	+	1188	3169	4540	3576	2335	2888	2352
YOR150W	chrXV	611999	612490	+	492	361	476	387	207	301	167
YOR179C	chrXV	671845	672411	-	567	333	483	275	206	204	231
YOR340C	chrXV	959202	960182	-	981	371	616	393	295	286	264
YOR354C	chrXV	1001147	1003225	-	2079	1028	1341	868	727	697	760
YOR217W	chrXV	749301	751886	+	2586	1145	1511	1156	768	867	807
YOR298W	chrXV	875599	877038	+	1440	356	390	175	179	199	195
YOL006C	chrXV	313078	315387	-	2310	2268	3059	2517	1659	1869	1431
YOR259C	chrXV	812395	813708	-	1314	3390	4217	2844	1908	2194	2348
YOR318C	chrXV;chrXV	911784;912433	912085;912436	-;-	306	50	69	31	29	25	33
YOR320C	chrXV	913619	915094	-	1476	297	516	328	223	247	236
YOR222W	chrXV	758330	759253	+	924	717	984	626	434	436	583
YOL165C	chrXV	1647	2078	-	432	66	71	66	30	20	55
YOL007C	chrXV	311342	312367	-	1026	37	54	59	32	45	28
YOR307C	chrXV	892731	894092	-	1362	955	1440	869	621	723	721
YOL051W	chrXV	234940	238185	+	3246	7456	10015	6200	4943	4912	6125
YOR091W	chrXV	493433	494470	+	1038	1639	2439	1877	1252	1316	1366
YOR079C	chrXV	473475	474416	-	942	78	112	66	68	52	51
YOL022C	chrXV	280272	281498	-	1227	1039	1654	1217	818	972	716
YOR278W	chrXV	842817	843644	+	828	270	358	328	170	227	212
YOR024W	chrXV	377847	378170	+	324	10	12	17	6	9	7
YOL148C	chrXV	45760	47574	-	1815	785	897	863	431	520	432
YOL078W	chrXV	181682	185212	+	3531	967	1240	943	686	616	648
tP(UGG)O3	chrXV;chrXV	980683;980752	980718;980787	+;+	72	3	5	2	2	2	4
YOR089C	chrXV	490196	490828	-	633	8390	10944	7818	4872	6059	4456
YOL098C	chrXV	132725	135838	-	3114	1803	2328	1531	1228	1280	1564
YOR171C	chrXV	652010	653884	-	1875	2697	3364	2872	1819	1860	2079
YOL089C	chrXV	150398	153490	-	3093	2179	2284	1459	1258	1124	1225
YOL150C	chrXV	44473	44784	-	312	141	79	50	48	34	97
YOR095C	chrXV	503552	504328	-	777	217	566	217	231	178	189
YOL146W	chrXV	48864	49448	+	585	105	189	88	57	83	62
YOR224C	chrXV	760825	761265	-	441	641	763	616	364	446	440
YOR302W	chrXV	882765	882842	+	78	1678	2082	2004	1346	1348	1341
YOR286W	chrXV	850280	850729	+	450	281	419	307	246	210	251
YOR046C	chrXV	414459	415907	-	1449	1474	1831	1539	972	1072	1187
tG(CCC)O	chrXV	594354	594425	-	72	0	0	0	0	0	0
YOR388C	chrXV	1071793	1072923	-	1131	14	25	13	20	14	30
YOR228C	chrXV	766869	767777	-	909	830	861	581	443	358	544
YOL112W	chrXV	106710	108188	+	1479	935	1201	1156	625	686	628
YOR141C	chrXV	589942	592587	-	2646	1652	2130	2079	1055	1304	1112
YOL131W	chrXV	73031	73357	+	327	56	70	54	30	58	34
YOR049C	chrXV	422668	423732	-	1065	736	1290	706	641	606	654
YOL143C	chrXV	54595	55104	-	510	974	1225	713	514	633	639
YOR172W	chrXV	654210	656570	+	2361	1022	1288	976	709	832	724
YOR149C	chrXV	609838	611388	-	1551	666	916	692	448	480	478
YOL164W	chrXV	6175	8115	+	1941	1602	1646	1148	990	899	922
YOR011W	chrXV	349679	353863	+	4185	246	348	316	184	192	238
YOR071C	chrXV	459480	461276	-	1797	1243	1473	1158	861	751	978
YOR022C	chrXV	373710	375857	-	2148	1718	1918	1353	1080	946	1195
YOR125C	chrXV	559030	559731	-	702	1670	2318	1698	1184	1273	1023
YOL141W	chrXV	56452	58539	+	2088	265	364	245	194	190	192
YOR101W	chrXV	515244	516173	+	930	485	801	472	290	416	356
YOR263C	chrXV	818757	819164	-	408	84	105	57	41	68	53
YOR383C	chrXV	1060441	1061055	-	615	1786	2762	1787	1343	1572	1499
YOR056C	chrXV	430247	431626	-	1380	2212	2953	2123	1570	1584	1541
YOL075C	chrXV	189658	193542	-	3885	666	844	769	441	480	554
YOR073W-A	chrXV	467390	467623	+	234	1	0	1	0	0	1
YOR246C	chrXV	795801	796793	-	993	1129	1354	1000	650	659	616
YOR042W	chrXV	408425	409660	+	1236	4443	5552	4396	2859	3067	3561
YOR236W	chrXV	780906	781541	+	636	331	315	213	208	175	197
YOR183W	chrXV	678872	679261	+	390	13	14	10	6	18	11
YOR176W	chrXV	662401	663582	+	1182	2388	2496	1595	1177	1194	1765
YOR238W	chrXV	783677	784588	+	912	620	754	536	371	411	431
YOR367W	chrXV	1026007	1026609	+	603	441	478	350	219	275	299
YOR297C	chrXV	874743	875321	-	579	311	355	214	216	224	291
YOR310C	chrXV	896825	898360	-	1536	428	727	582	407	501	342
YOR063W	chrXV	444686	445849	+	1164	3080	4879	2773	2484	2434	2670
YOR189W	chrXV	689624	689974	+	351	478	722	605	350	497	317
YOL129W	chrXV	77560	78114	+	555	2692	3191	2338	1652	1918	1797
YOR280C	chrXV	844992	845792	-	801	529	685	450	285	445	373
YOR037W	chrXV	401555	402655	+	1101	1365	1957	1579	889	1153	822
YOR090C	chrXV	491123	492841	-	1719	2760	2927	1919	1552	1461	1735
YOR313C	chrXV	901858	902874	-	1017	242	345	223	151	219	81
YOL032W	chrXV	265429	266169	+	741	2761	2673	2088	1172	1441	1712
YOR158W	chrXV	632164	633120	+	957	1121	1519	1254	756	868	724
YOR162C	chrXV	639560	641992	-	2433	2481	2806	2192	1412	1531	1768
YOL092W	chrXV	144204	145130	+	927	466	624	458	332	292	400
YOL061W	chrXV	212244	213734	+	1491	1406	1776	1384	916	1008	944
YOR232W	chrXV	774573	775259	+	687	1026	1527	1088	572	772	622
YOR219C	chrXV	752214	755009	-	2796	3762	3615	2519	1919	1978	2096
YOR182C	chrXV;chrXV	678191;678791	678379;678793	-;-	192	248	360	174	129	187	135
YOL099C	chrXV	132017	132508	-	492	5	2	0	2	0	3
YOR294W	chrXV	868340	868951	+	612	600	915	675	465	554	411
YOR288C	chrXV	852121	853077	-	957	1321	1450	1015	794	785	873
YOR110W	chrXV	528941	530248	+	1308	961	1187	879	538	594	469
YOR040W	chrXV	407064	407921	+	858	1550	2225	1754	993	1117	1108
YOL083W	chrXV	165714	166952	+	1239	1447	2358	2094	992	1549	1025
YOL136C	chrXV	67561	68754	-	1194	833	1202	1422	506	732	489
YOL130W	chrXV	74400	76979	+	2580	2234	2898	2050	1412	1505	1546
YOL021C	chrXV	282421	285426	-	3006	1525	2059	1420	1200	1124	1246
YOR282W	chrXV	847000	847320	+	321	9	16	18	22	13	12
YOL077W-A	chrXV	185438	185644	+	207	1842	3752	2479	1269	1726	1070
YOR319W	chrXV	912822	913463	+	642	890	1378	1221	497	834	385
YOR030W	chrXV	386825	388684	+	1860	1691	2354	1494	1058	1043	1288
YOR291W	chrXV	861175	865593	+	4419	2523	2999	1792	1472	1388	1875
YOL077C	chrXV	185848	186723	-	876	1273	1956	1248	1002	1120	825
YOR390W	chrXV	1076784	1077911	+	1128	90	156	128	94	73	52
YOL052C-A	chrXV	231570	231755	-	186	18917	24543	15224	10713	12762	12980
YOR123C	chrXV	553176	554570	-	1395	2108	3033	2472	1556	1738	1611
YOR013W	chrXV	356751	357221	+	471	26	47	37	13	30	15
YOR249C	chrXV	798674	800731	-	2058	699	850	667	426	429	521
YOR362C	chrXV	1017880	1018746	-	867	4915	6144	3670	2794	3217	3421
YOL058W	chrXV	219211	220473	+	1263	582	855	1115	419	629	467
YOR143C	chrXV	601383	602342	-	960	115	167	99	48	91	58
YOR347C	chrXV	984942	986462	-	1521	1458	1994	1760	1011	1380	1192
YOL157C	chrXV	22525	24294	-	1770	186	332	187	98	121	79
YOL057W	chrXV	220767	222902	+	2136	2141	2387	1934	1169	1403	1393
YOR321W	chrXV	916030	918291	+	2262	304	334	305	237	189	260
YOR015W	chrXV	359993	360352	+	360	317	353	183	111	162	175
YOR111W	chrXV	530429	531127	+	699	749	1102	810	394	546	334
YOL008W	chrXV	310312	310935	+	624	255	221	326	140	158	157
YOR279C	chrXV	843698	844630	-	933	780	993	868	498	616	398
YOR394C-A	chrXV	1084202	1084369	-	168	6	4	0	4	0	2
YOR180C	chrXV	674352	675167	-	816	398	848	316	318	294	274
YOL055C	chrXV	224420	226075	-	1656	950	1150	1180	533	692	540
snR5	chrXV	842403	842606	+	204	5	8	2	1	1	2
YOL139C	chrXV	60383	61024	-	642	2198	3178	2097	1529	1848	1405
YOR287C	chrXV	850937	851839	-	903	379	542	356	265	283	176
YOR198C	chrXV	718653	720065	-	1413	1248	1878	1372	1005	1088	1096
YOR053W	chrXV	427817	428158	+	342	7	2	0	0	1	0
YOL054W	chrXV	228614	229834	+	1221	1974	2459	2394	1145	1511	1181
YOR012W	chrXV	356543	356956	+	414	62	81	47	28	54	23
YOL118C	chrXV	96608	96916	-	309	82	120	75	51	46	56
YOR034C	chrXV	394837	397086	-	2250	1529	1981	1050	1004	952	1178
YOR374W	chrXV	1039840	1041399	+	1560	25717	31563	16901	14659	14182	20568
YOR018W	chrXV	364369	366882	+	2514	1774	1953	1754	1038	1173	1104
YOL084W	chrXV	162356	165331	+	2976	63740	66094	37020	36432	28654	49274
YOR314W	chrXV	903043	903372	+	330	0	0	0	0	0	0
YOR050C	chrXV	424270	424617	-	348	63	71	55	38	51	51
YOR391C	chrXV	1078545	1079258	-	714	646	787	488	250	367	350
YOR327C	chrXV	930734	931081	-	348	1511	2017	1670	1062	1252	998
YOR352W	chrXV	997213	998244	+	1032	1093	1191	809	617	711	631
YOR348C	chrXV	986899	988782	-	1884	26414	35397	18729	17852	14280	20742
YOL115W	chrXV	101475	103229	+	1755	374	619	395	285	290	270
YOR066W	chrXV	449436	451325	+	1890	1099	1332	1309	853	844	892
YOR072W-A	chrXV	461791	462039	+	249	23	19	10	7	16	2
YOL096C	chrXV	138107	139045	-	939	837	879	613	422	483	470
tM(CAU)O2	chrXV	976421	976493	+	73	7	5	1	2	1	0
YOR020C	chrXV	370524	370844	-	321	1550	2037	1945	881	1327	703
YOR133W	chrXV	575098	577626	+	2529	611	800	600	419	510	512
YOR356W	chrXV	1007221	1009116	+	1896	1981	2530	1360	1080	1040	1428
YOR208W	chrXV	733925	736177	+	2253	3206	3322	3501	2208	2270	2109
YOR357C	chrXV	1009224	1009712	-	489	473	510	301	234	282	176
YOR277C	chrXV	841515	841823	-	309	1	0	0	0	0	0
YOR276W	chrXV	841333	841818	+	486	108	130	75	53	62	63
YOR247W	chrXV	797676	798308	+	633	205	211	223	209	167	171
snR50	chrXV	259489	259578	+	90	4	5	3	0	1	1
YOL047C	chrXV;chrXV	241614;242505	242441;242747	-;-	1071	539	543	492	233	333	302
YOR221C	chrXV	756476	757558	-	1083	2331	2458	2145	1316	1393	1902
YOR344C	chrXV	977194	978069	-	876	5449	7514	7928	3703	4604	4469
YOR269W	chrXV	826385	827869	+	1485	231	334	331	151	222	166
YOR152C	chrXV	617518	618288	-	771	592	871	488	409	393	445
YOR103C	chrXV	516449	516841	-	393	104	205	140	95	145	61
YOR377W	chrXV	1046226	1047803	+	1578	1032	1121	665	505	456	715
YOR129C	chrXV	566877	569558	-	2682	639	764	490	462	404	422
YOL038C-A	chrXV	254926	255021	-	96	80	236	149	54	87	74
YOR156C	chrXV	628360	630540	-	2181	1188	1489	1469	808	862	811
YOR329C	chrXV	936731	939349	-	2619	2888	3905	2633	1916	1849	2403
YOR351C	chrXV	995018	996511	-	1494	167	194	173	94	85	89
YOL040C	chrXV	253149	253577	-	429	2811	4027	2443	2046	2105	2189
YOL159C-A	chrXV	15233	15505	-	273	114	196	100	85	77	79
YOR051C	chrXV	424846	426084	-	1239	643	1087	915	469	608	584
YOR003W	chrXV	331455	332891	+	1437	925	1207	984	631	621	650
YOR064C	chrXV	446079	446738	-	660	1180	1818	1281	670	898	665
YOR073W	chrXV	464771	466543	+	1773	213	397	259	202	220	201
YOR201C	chrXV	720470	721708	-	1239	494	788	476	444	423	491
YOR065W	chrXV	447439	448368	+	930	4888	5848	3434	2761	2380	3651
YOR186W	chrXV	683111	683545	+	435	255	341	259	148	177	169
YOR045W	chrXV	413852	414037	+	186	238	361	274	178	231	160
YOL018C	chrXV	290881	292074	-	1194	1160	1726	1149	843	919	811
YOL133W	chrXV	70325	70690	+	366	284	413	270	176	218	198
YOR087W	chrXV	487707	489734	+	2028	641	745	509	368	375	368
YOL028C	chrXV	270633	271370	-	738	434	458	314	270	273	270
YOL086C	chrXV	159548	160594	-	1047	6830	8019	6831	3827	4641	5573
YOL108C	chrXV	111431	111886	-	456	4105	4364	5050	1641	3166	1725
YOL023W	chrXV	278056	280086	+	2031	620	779	862	374	572	405
YOR011W-A	chrXV	355652	355858	+	207	13	12	7	8	6	2
YOR165W	chrXV	644566	646896	+	2331	1393	1964	1342	962	919	869
YOL068C	chrXV	200368	201879	-	1512	1510	2012	1675	1009	1116	1149
YOR138C	chrXV	584309	586324	-	2016	3731	4331	3244	2251	2332	2449
YOR016C	chrXV	360461	361084	-	624	840	1070	734	577	610	547
YOL121C	chrXV;chrXV	92026;92831	92440;92850	-;-	435	381	745	366	306	340	288
YOL126C	chrXV	81787	82920	-	1134	2807	4281	2700	1721	1919	2403
YOR235W	chrXV	779870	780184	+	315	22	21	11	15	6	16
YOR080W	chrXV	474594	476792	+	2199	670	1063	621	525	579	492
YOR169C	chrXV	651376	651840	-	465	7	3	3	0	3	3
YOR028C	chrXV	383533	384420	-	888	1799	2639	1955	1176	1273	1282
YOR225W	chrXV	761392	761721	+	330	27	25	23	11	14	11
YOR108C-A	chrXV	524605	524814	-	210	0	0	0	0	0	0
YOR109W	chrXV	525278	528601	+	3324	1903	2003	1727	1148	1205	1424
YOL093W	chrXV	142815	143696	+	882	395	776	480	340	384	373
YOR147W	chrXV	606607	608475	+	1869	2429	3175	2115	1630	1474	1723
YOR218C	chrXV	751476	751895	-	420	0	0	0	0	0	0
YOR254C	chrXV	805032	807023	-	1992	1130	1551	1084	701	868	705
YOL080C	chrXV	180558	181427	-	870	71	112	77	51	67	43
YOR161W-B	chrXV	637975	638235	+	261	0	0	0	0	0	0
tY(GUA)O	chrXV;chrXV	288192;288245	288230;288280	+;+	75	0	0	0	0	0	0
YOR136W	chrXV	580250	581359	+	1110	1479	1302	1129	646	762	991
tR(ACG)O	chrXV	340299	340371	-	73	0	0	0	0	1	2
YOR192C-C	chrXV	703988	704224	-	237	7	16	12	8	4	4
YOR205C	chrXV	725564	727234	-	1671	773	1048	837	583	592	577
YOR200W	chrXV	720417	720815	+	399	0	0	0	0	0	0
YOR305W	chrXV	889022	889750	+	729	374	530	385	278	326	255
YOR195W	chrXV	712866	715331	+	2466	1067	1570	1770	828	1123	726
YOL123W	chrXV	87844	89448	+	1605	1420	2290	1194	1069	1196	1302
YOR097C	chrXV	506978	507505	-	528	1060	1494	940	708	751	696
YOL083C-A	chrXV	166461	166601	-	141	0	0	0	0	0	0
YOL086W-A	chrXV	159173	159445	+	273	586	1062	737	323	495	262
YOR337W	chrXV	954344	956623	+	2280	704	963	854	592	601	627
YOL100W	chrXV	129237	132482	+	3246	3567	4473	4097	2289	2702	2558
YOR289W	chrXV	853357	854112	+	756	10031	13400	8012	5295	6738	5003
YOR255W	chrXV	807271	808107	+	837	122	224	148	106	182	56
YOR304W	chrXV	884514	887876	+	3363	2303	2905	2474	1617	1678	1532
YOL163W	chrXV	9597	10106	+	510	239	251	208	130	156	161
YOR077W	chrXV	471899	472597	+	699	326	426	452	205	306	248
YOR074C	chrXV	466675	467589	-	915	26	63	42	43	35	26
YOR117W	chrXV	545029	546333	+	1305	2884	3260	2489	1349	1835	1925
YOR055W	chrXV	429478	429912	+	435	53	54	38	38	27	42
YOL166W-A	chrXV	585	740	+	156	0	2	0	0	3	1
YOL066C	chrXV	202696	204471	-	1776	1088	1384	942	716	746	724
YOR396W	chrXV	1085473	1090863	+	5391	2	1	1	0	1	0
YOR161C-C	chrXV	639121	639267	-	147	74	45	16	29	29	40
tV(AAC)O	chrXV	663812	663885	-	74	13	31	28	12	14	8
YOR151C	chrXV	612997	616671	-	3675	2422	3392	2291	1848	1817	2065
YOR187W	chrXV	684030	685343	+	1314	1959	2829	1749	1287	1322	1341
YOL001W	chrXV	325249	326130	+	882	523	725	527	294	348	330
YOR005C	chrXV	334509	337343	-	2835	2111	2373	1961	1219	1292	1365
YOR199W	chrXV	720181	720510	+	330	25	31	21	11	20	14
YOR355W	chrXV	1005137	1006705	+	1569	2229	2803	1768	1496	1420	1842
YOR290C	chrXV	855147	860258	-	5112	4291	5499	4009	2667	2861	3357
YOR396C-A	chrXV	1090015	1090497	-	483	0	0	0	0	0	0
YOR047C	chrXV	416347	417681	-	1335	590	616	442	312	360	380
YOL014W	chrXV	299693	300067	+	375	83	88	99	32	71	40
YOR244W	chrXV	792531	793868	+	1338	1005	1622	1232	886	906	787
YOL102C	chrXV	125997	126689	-	693	400	576	470	296	390	214
YOL060C	chrXV	214017	216137	-	2121	3506	4222	3521	2392	2542	2549
YOL041C	chrXV	251267	252646	-	1380	645	1040	652	497	497	402
YOL116W	chrXV	99809	100957	+	1149	480	690	514	288	357	342
YOR353C	chrXV	998453	1000828	-	2376	1368	2097	1168	1123	954	1058
YOR299W	chrXV	878435	880675	+	2241	1286	1333	1181	845	896	851
YOR366W	chrXV	1025256	1025609	+	354	2	0	0	0	0	2
tD(GUC)O	chrXV	571958	572029	+	72	4	2	6	0	4	2
YOR096W	chrXV;chrXV	505794;506339	505937;506767	+;+	573	275	532	292	199	260	147
YOR148C	chrXV	608640	609197	-	558	718	1073	625	471	482	435
YOR301W	chrXV	880965	882272	+	1308	214	262	237	117	171	144
YOR257W	chrXV	811008	811493	+	486	1029	1483	2067	690	1088	667
YOR135C	chrXV	580159	580500	-	342	106	91	69	42	57	56
YOR032W-A	chrXV	392176	392376	+	201	29	22	15	15	9	17
YOR223W	chrXV	759782	760660	+	879	2283	2927	2878	1189	1838	1346
YOR076C	chrXV	469377	471620	-	2244	712	815	615	399	414	427
YOR231C-A	chrXV	773163	773363	-	201	0	0	0	0	0	0
YOR316C-A	chrXV	907726	907935	-	210	42	64	34	40	29	17
tS(GCU)O	chrXV;chrXV	274673;274729	274709;274773	+;+	82	1	0	0	0	0	0
YOR061W	chrXV	441534	442553	+	1020	1230	1768	1507	908	1086	908
YOR025W	chrXV	378219	379562	+	1344	402	363	391	275	263	235
YOR371C	chrXV	1031489	1034182	-	2694	1569	2208	1364	1069	1031	1346
YOL140W	chrXV	58759	60030	+	1272	297	392	256	228	212	193
YOL062C	chrXV	210520	211995	-	1476	1159	1512	1282	731	795	728
